,clean2,sentiment,followers_count,in_reply_to_screen_name,favorited,friends_count
27,why is that at night we do not get 3g speed of internet do pay only for the day,0.0,58,,0,494
28,hello hardly getting 4g signal in case i get it internet on it is very slow 7680913333tia,-1.0,32,Airtel_Presence,0,111
29,thank you madam for resolving the issue address is airtel store opposite rajasthan roadways b httpstcoytwbyteaoq,1.0,36,Airtel_Presence,0,5
30,i have request for number port tata to airtel but it sow ups mismatch as show in attachment why,0.0,13,f200106c951a406,0,46
31,worst at httpstcom83eo4a2uz,-1.0,184,,0,1214
32,rt hello tried to recharge from airtel wallet recharge failed and u20b9290 debited from my account plz credit my mone,0.0,23313,,0,7050
33,what is the fun of getting huge data if with 4g connectivity you r getting speed of 300kb max,-1.0,48,Airtel_Presence,0,389
34,never trust on airtel making fool to customers,-1.0,10,,0,47
35,really appreciate your technicians checking the lines on a rainy sunday thanks now hoping for uninterrupted connection,1.0,3655,,0,858
36,airtel is fraud they refused my migration request for postpaid to prepaid of 7318236666 plz help,-1.0,364,Airtel_Presence,0,815
37,dear sir kindly provide services to resume9993441147 postpaid no your exc asking me 2wait for 3 monthspls contact me8871626672,-1.0,56,airtelindia,0,155
38,hello tried to recharge from airtel wallet recharge failed and u20b9290 debited from my account plz credit my money back,0.0,2875,,0,105
39,shame on you 20 mins 2 reach payment screen n then ths you guys r shameless ths is n httpstco1lpnji5gkd,-1.0,215,,0,216
40,is not present at all since last 4 days only chasing them to rectify broadband service,0.0,0,Airtel_Presence,0,21
41,contacted by namrata  & amp shweta airtel representative over last 2 days no body has turned up since12,0.0,54,Airtel_Presence,0,131
42,i need to convert 3g into 4g since sim  & amp my mobile is 4gplz help me in resolving this issue edu00a0u00bdedu00b8u0080edu00a0u00bdedu00b8u0080edu00a0u00bdedu00b8u0080,0.0,163,airtelindia,0,1207
43,rt dei if ud rather not be pulled up in front of the supreme court read  & amp stop troubli,-1.0,7,,0,15
44,i have been requesting for my refund due to the nonavailability of broadband however i didnt r httpstco5hjqonpxqe,-1.0,11,Airtel_Presence,0,95
45,you should advertise your brand with fastest speed never faced this kind of network and speed issue wd othr,-1.0,0,airtelindia,0,96
46,i am not getting back to anyone your mistake you get back to me,-1.0,26,Airtel_Presence,0,42
47,be ready with your answer httpstco9yqjctbiew,0.0,8,9d48b6b4b797481,0,42
48,three bariphone 7 apple,0.0,5112,Airtel_Presence,0,125
49,sc order was only for cable httpstcohfu9lpyrkw,0.0,70,AmitS_indian,0,93
50,d lastest of 90 days over but no improvement at all concern was first raised in dec httpstcovdthzjgraa,0.0,177,Airtel_Presence,0,141
51,it is need you attention as i am facing a lot of problem because of this,0.0,30,deepak21pawar,0,162
52,more money has been deducted without any benefits i better uninstall this app,-1.0,12,Rohit3193,0,47
53,rt wht happened to airtel why no discount given in my first bill when this activated,0.0,18622,,0,19428
54,rt,0.0,35787,,0,997
55,the single is every time up down,-1.0,0,Airtel_Presence,0,5
56,you either improve your coverage or stop boasting about your network no service in the heart of httpstco78asgleikq,0.0,69,Airtel_Presence,0,240
57,dis info i knw alradu i did somany time for dis unuseful info im not write it n twitter do some other,-1.0,11,Airtel_Presence,0,45
58,best mobile network according to all of u,0.0,28,kamaalrkhan,0,355
59,thanks to  i do not have active phone no since morning and there is no chance i could get it activated by monday,-1.0,2699,,0,1145
60,now it is better to port to jio,-1.0,12,Airtel_Presence,0,16
61,m in httpstco4chkih5onn net speed is very poor on my airtel 4g sim ,0.0,11,Airtel_Presence,0,75
62,rt forges strategic partnership with  the most advanced mobile broadband operator in the world,1.0,1754,,0,4996
63,shreekunj flats prabhat chiwk ghatlodia ahmedabad phone is redmi note 3 bars may very from no httpstcowkhvkskidu,0.0,122,Airtel_Presence,0,121
64,this is the speed after all that mohsin had done look right away  httpstcox6gfohzy1t,0.0,632,binitalr,0,2033
65,this is your network speed so slow on 4g httpstcoef8mjzorei,-1.0,283,Airtel_Presence,0,132
66,all my apps are on auto update only on wifi,0.0,8148,Airtel_Presence,0,1608
67,whenever i reach out to them via the customer care number their executives are busy attending to other calls,-1.0,372,,0,268
68,rt pathetic in one wordgud jio is growing n your custmer caretakng you down5day my no is not ye,0.0,0,,0,0
69,rt,0.0,425,,0,454
70,struggling to get network for 4g on my site but no one seems to support 4g only mode gives 4g spe httpstconmzvnn3rut,-1.0,2,SovitGupta3185,0,58
71,in reality airtel network is worst now,-1.0,2,abhishek,0,29
72,done pls check,0.0,11245,Airtel_Presence,0,2430
73,please return my 500 rs which you stolen from my wallet of 9841248402 shame in you dacoit company,-1.0,2,airtel_bank,0,7
74,hope you saw the screenshots i did sharethats the fkn reality you bloat up data and give only fa httpstcohru95e2n3x,0.0,97,Airtel_Presence,0,421
75,no network since today morning,0.0,24,Airtel_Presence,0,85
76,your data pack gives free access to live tv movies and music download now and get 600 mb free  ( tca,1.0,4,Airtel_Presence,0,7
77,how much money do you need why you do not give internet speed why why why,0.0,117,airtelindia,0,347
78,ok but what about my money that i have spent on recharge for this months,0.0,2,Airtel_Presence,0,2
79,executive want id and address proof through whatsapp so tht he can login on same day how i can se httpstcoz5jfjepxin,0.0,0,Airtel_Presence,0,5
80,hello please assist with the stated issue thank you  ^ anopo,0.0,152472,RiteshTrivedi34,0,15813
81,could you people resolve issue,0.0,20,Airtel_Presence,0,110
82,my airtel wallet account has been blocked why i have send a email this regard but no reply ,-1.0,55,Airtel_Presence,0,133
83,rt telecom companies like  & amp can do any magic edu00a0u00bdedu00b8u0082edu00a0u00bdedu00b8u0082edu00a0u00bdedu00b8u0082edu00a0u00bdedu00b8u0082 httpstcoxzntwp4qjl,-1.0,75,,0,864
84,mobile signals again down to zero in our area this has become too frequent now i am forced to look out for options,-1.0,148,Airtel_Presence,0,281
85,it is very hard to reach your customer carei cannot even get 121 is for customer support or listen computer voice,0.0,6,Airtel_Presence,0,81
86,your broadband cc nos are not easily available found aftr hectic search  & amp they dont work plz dont giv me reasons 2 switch,0.0,18,Airtel_Presence,0,126
87,vashi navi mumbai branchstaff name  sharif managersaniya shaikh says tht who r you to tell me if httpstcoeyg1qerm6j,0.0,0,Airtel_Presence,0,104
88,care to reply httpstcoyujlbdhvhn,0.0,250,harshhmittal,0,631
89,i wud like to change all 7 voda no of my family to otr service rqst you to contact me  & amp brif me with plans  ( 22,1.0,4,VodafoneIN,0,20
90,unable to make payment since last 34 days will not pay the penalty amount,-1.0,59,airtelindia,0,66
91,what about so called network speed in hyderabad  its pathetic in,-1.0,278,geekyranjit,0,484
92,internet not working is there any server issues in jamshedpurjharkhand,0.0,531,airtelindia,0,1278
93,how can i link my tn aadhaar to mobile i am an outstation tn customer living in ap for work,0.0,1,Airtel_Presence,0,14
94,hello,0.0,4897,,0,771
95,any one from who can help in my network and internet issue at jamshedpur my number is 9040094833,0.0,5,,0,19
96,whats the matter one week has passed since tele complaint are you guyz serious about it ,0.0,74,Airtel_Presence,0,159
97,is there any problem with in network not receiveing the call from anybody 9322007970 and no port mnp code,-1.0,73,Airtel_Presence,0,607
98,i am unable to subscribe chota pack super kids registered no 9416382720  & amp name lalit kumar,0.0,81,airtelindia,0,213
99,today morning my phone got stolen although got issues a new sim from nearby airtel store will it httpstco0q9u3sjisl,0.0,8,Airtel_Presence,0,18
100,dmed it 2hrs ago and still no call fuck,-1.0,194,Airtel_Presence,0,552
101,thank you mukul,1.0,57,Airtel_Presence,0,64
102,relaince 4g better than airtel 4g ki to network hi 0 me rahti hai,-1.0,0,Airtel_Presence,0,20
103,in what universe the following numbers sums upto 29870 httpstcovpsdicbmg3,0.0,33,airtelindia,0,57
104,will you give me my cashback of recharge of 399 rs had done on 14th september pls resolve thisa,-1.0,75,Airtel_Presence,0,120
105,signal is perfect still network is slow screenshot was taken after keeping something to download httpstcomaglfy5win,-1.0,142,Airtel_Presence,0,264
106,congree to h bhijra bjp ka yad kr lo edu00a0u00bdedu00b8u0082edu00a0u00bdedu00b8u0082edu00a0u00beedu00b4u00a3,-1.0,49,MKdwivedi5,0,37
107,please help,0.0,68,MDNasrullah,0,161
108,how to mnp airtel to jio,0.0,2,Airtel_Presence,0,69
109,rapidmax60gbplan httpstcozgq87avj3w shows upto 16mbps httpstcopei95qzgoa shows upto 40mbps why,0.0,246,Airtel_Presence,0,1413
110,are you sleeping  when i will get cashback of 399rs recharged i have done using your airtel app  call me,-1.0,75,Airtel_Presence,0,120
111,have you seen airtel,0.0,5110,DrunkunBanna,0,124
112,claim free data for postpaid user httpstcodguldrpfqb,0.0,6,,0,29
113,why does it take 4 days for you to activate a replaced sim  & amp your customer service so rude ,-1.0,29,Airtel_Presence,0,76
114,my network still has not come this is ridiculous i should sue you been 18 hours httpstcojqlfrjnc3w,-1.0,41,Airtel_Presence,0,213
115,not sorted out yet i find your new vfiber  ( binatone modem with ethernet ports please change th httpstcog2hwpspx5x,0.0,614,babukraman,0,155
116,cannot reach your customers care over call suck your services all number are not reachableedu00a0u00bdedu00b8u00a1edu00a0u00bdedu00b8u00a1edu00a0u00bdedu00b8u00a1,0.0,42,Airtel_Presence,0,302
117,this is horrible shame on airtel,-1.0,728,dassandip,0,2102
118,transaction id  170915533027 and the other transaction id is not availb but money has been deducted frm my account,0.0,97,Airtel_Presence,0,291
119,that is what i already asked why you are publicly advertising number specific offers to acquir httpstcoj6e6rws1um,0.0,812,Airtel_Presence,0,1230
120,dear just tell me what is this all about is this my job to get release my number for porting httpstco0xs4ol4lz9,0.0,133,,0,85
121,i have shared the necessary details please help,-1.0,105,DoT_India,0,98
122,what happened you ppl again sleep,-1.0,70,Airtel_Presence,0,235
123,please arrange the call in my number,0.0,1150,Airtel_Presence,0,314
124,claiming themselves fastest network of india and when i use it found them the most slowest internet speed  ( 12,-1.0,20,Airtel_Presence,0,51
125,hopeless customer serviceunresolved service request for more than a month moving to new service,-1.0,251,airtelindia,0,665
126,at time of porting network your team confirm that network at my address is excellent now it comes httpstcod26haxdjq2,0.0,58,Airtel_Presence,0,99
127,you stupid morone giving 2g in 4g data pack its heights of your cheating indian will kick your ass so soon where is your services,-1.0,270,Goutam_official,0,215
128,dear airtel online transaction having difficulties i bought 399 package but i did not recieved any and money deducted,0.0,7,Airtel_Presence,0,24
129,they are not loyal to their loyal customers,-1.0,64,kankal_rahul,0,110
130,action must be taken against mr soumen and mr afroze alam for their behaviour which b httpstco3ehrbmxdr2,-1.0,5,Agarwalvasu,0,42
131,not an acceptable reply need a solution on immidiate basis as im paying airtel curreny also for services,-1.0,9,Airtel_Presence,0,55
132,every time i have to spend lot of time to make you understand remin httpstcoupkvpsflxe,0.0,46,PanchalKapildev,0,67
133,linking to required for only  not for httpstcoweqvsuukex,0.0,7871,,0,8472
134,cannot hear customers problems httpstcotnzkm6o9vg,0.0,583,Airtel,0,94
135,my wifi is not working,0.0,17,airtelnews,0,361
136,please check yours internet facilities in my area after jio here is not propr airtel 2g net why its chirgaon area of hp,0.0,185,Airtel_Presence,0,414
137,rt since linking his phone to sr says his gas subsidy without his consent is going to and he mu,0.0,12,,0,205
138,rt you idiots are recording my phone calls for last 10 years are you going to put that recording in your ass i wil,0.0,3240,,0,3016
139,reliance 4g is not there in jharkhand waiting for that only,0.0,62,spzoomin,0,313
140,sc order was only for cable operators not applicab httpstcotmnkbi84ko,0.0,70,ayushbadhera,0,93
141,sir net ki speed very slow h224228,-1.0,3,Airtel,0,67
142,please create some high priority ticket with your tech department it needs to be resolved,0.0,116,Airtel_Presence,0,427
143,struggling with unstable dsl connection from 1yr complained  & gt20 times but no improvement shame on you,-1.0,67,Airtel_Presence,0,74
144,started with porting of my postpaid numbers also httpstcostaly1n5tm,-1.0,17,ExellLisk,0,75
145,ts govt has offered free wifi to you roads dug up nil or poor or jugad repair pl repair damaged httpstco7wu1ocdio0,1.0,22,Airtel_Presence,0,22
146,rt since linking his phone to sr says his gas subsidy without his consent is going to and he mu,0.0,152,,0,303
147,i have been facing issues with they do not provide service but charge when they send a technician  ( 1n,0.0,266,Consumer2Court,0,237
148,thanks amit sent an email to 1909 @ inairtelcom hope the problem is resolved at the earliest thanks once more,1.0,62172,Airtel_Presence,0,48486
149,"every email i sent to   ""  net @ airtelcom  ""   lately has never been replied and their   ""  121 @ inairtelcom  ""   e httpstco5ri7gr0xy8",0.0,280,SDey_96,0,933
150,rt once a cheater always a cheater is a bigtime cheater  & amp fraud  have some shame httpst,-1.0,192,,0,33
151,wrst custmr cr exprn watng fr mr dan 20 min jst 2 link aadhar reprsntatv here busy talkng n phn rather dan attending custmr,0.0,21,airtelindia,0,23
152,successfully submitted porting request to bye bye,1.0,22,,0,61
153,i need to know the procedure of porting to airtel,1.0,10,,0,123
154,your pathetic services are highly appreciated,-1.0,1,sardaargsingh,0,12
155,please do something for proper network coverage in electronic city of bangalore,0.0,9,airtelindia,0,45
156,every other company also records,0.0,155,kamaalrkhan,0,634
157,rt is the best way how can manage,0.0,40,,0,69
158,i have network issue,0.0,132,Airtel_Presence,0,297
159,now i am airtel customer thanks for quick process porting request httpstcohb84r0lrfo,1.0,1163,VodafoneIN,0,1943
160,which is over but i will wait till monday for them to credit the cash back by monday if not i will contact you on monday,-1.0,6,Airtel_Presence,0,0
161,i live in rural i had issues so i changed from to now i have issues when am in city,0.0,138,rockyandmayur,0,356
162,thank you for the free data  expecting more offers like in coming yea httpstcoceliw4rdzf,1.0,60,Airtel_Presence,0,181
163,such bad network or what facing call drops and failed calls so frequently mostly on jio numbers  ( 12,-1.0,295,airtelindia,0,353
164,rt how makes fool cheap pr outgoing roaming free as per this article bt cc denies same,-1.0,7490,,0,423
165,pin code 425311  shindi village signal i cannot read  mobile model windows 543,-1.0,44,Airtel_Presence,0,147
166, landlinebrd band  080 41523195  line goes down every night up in the morning by the time engr comesplease help,-1.0,22,Airtel_Presence,0,27
167,my 84 days recharge got over in 28 days please check your facebook team is not bothered,0.0,8,Airtel_Presence,0,67
168,3mth old comp no77799441 not resolved and 2nd tm network survey done one survey not enough httpstcoeushu5cd0b,-1.0,205,airtelindia,0,367
169,airtel is promising true 4g speed to their airtel users but there is no 4g speed,0.0,17,RameshPatel7137,0,195
170,extremely urgent help needed customer id 3019160540 contact number 9694999998  please call urgent very urgent,0.0,88,airtelindia,0,83
171,i feelsoshametousestillairtelsoon i gonnachangemynetworkfaltunetwork aftercomplainingstilltheyneverchange,-1.0,12,,0,112
172,rt how makes fool cheap pr outgoing roaming free as per this article bt cc denies same,-1.0,19,,0,33
173,not receiving sms from bank,0.0,142,Airtel_Presence,0,85
174,hi pankaj we apologize for the inconvenience c httpstcovlvqek0cwv,-1.0,750,Panks_khurana,0,10
175,and for the reference the network is in auto mode only,0.0,122,Airtel_Presence,0,121
176,afroze  91 7980984358 soumen  91 70037 71309 please take strict against these 2 httpstcowman2h0kd6,0.0,5,Agarwalvasu,0,42
177,i very well know the present status and it sucksand you also know that is y aftr telling so mch httpstcoeg3gjjhtwv,-1.0,31,Airtel_Presence,0,189
178,i have sent a message  kindly go through that i am recieving 23 signal bars for 1 or 2 hrs a day speed is fine ,0.0,80,Airtel_Presence,0,545
179,no i think you are biggest chutiya on this planet ,-1.0,1266,kamaalrkhan,0,1846
180,2 near begumpet airport 500016 there is no signal at all,-1.0,7,Airtel_Presence,0,22
181,to raise my concern to you stating that it will be influencing httpstcow6pibtsi38,0.0,98,11kaydee,0,52
182,rt  stop spamming and misleading your consumers on a sub judice matter proceeding is still,-1.0,1897,,0,657
183,rt yo planning to get on to your network hoping you guys would swipe right call me,-1.0,90,,0,349
184,pls share dead line when network issue will be resolved time frame then it is worthy shows dedicati httpstcorf8ntiywhf,0.0,9,Airtel_Presence,0,65
185,after an hour or so after the tweet channel activated but refund of the yesterday deduction is no httpstcozad1xkvwrg,0.0,1271,Airtel_Presence,0,2617
186,now both the payments has been credited to my airtel money wallet now need to send money to bank httpstcotjcseh8uo0,0.0,97,Airtel_Presence,0,291
187,totally looted me by the given plan u20b9399 4g unlimited calling n 1gb daily data never come 3g signal at my workplace,-1.0,215,airtelindia,0,582
188,rt after converted airtel postpaid to prepaid i cannot call to anyone and also i cannot recharged ,0.0,5,,0,35
189,can you change my plan which was offered by retention team or you want that i port my number,0.0,9,Airtel_Presence,0,192
190,pleaee find the below numbers 8088228822 8088668866 8088448888 8088998888 its been quite long time httpstcoitwuqwbps4,0.0,37,Airtel_Presence,0,195
191,87186858 please update on this ask diwan from applet team sachin from airtel broadband anamila from cust exp team,0.0,358,Airtel_Presence,0,800
192,what r you working on networkfrom long time your wrking on network n still working but were is the result,-1.0,79,Airtel_Presence,0,153
193,very bad service i tried many times to activate by registered mobile number its replied to me busy engage again and again,-1.0,36,airtelindia,0,29
194,can not do anything about incessant calls asking for switching carrier today frm 8419971266,-1.0,108,,0,13
195,i will again dm you my number,0.0,5,Airtel_Presence,0,40
196,thanks for prompt reply and,1.0,31,Airtel_Presence,0,53
197,network down  maintenance ,0.0,677,Airtel_Presence,0,50
198,are phone lines down why can i not hear a thing since morning,0.0,2691,Airtel_Presence,0,1225
199,complaint ref 8769130 open for 5 days escalated too disconnect connection will move to tomorrow,0.0,14,Airtel_Presence,0,83
200,stop playing around and resolve the issue 1015 messages already exchanged,-1.0,31,kate_vikram,0,33
201,just start 34g service in my town shindi tal bhusawal,0.0,43,Airtel_Presence,0,142
202,i have 2 numbers  you talking abt which no  anyways moving to another service provider good you didnt support,0.0,20,Airtel_Presence,0,1
203,hi teami am fed up from your gaana subscriptions  please let me know procedure to how to port the number,-1.0,1,Airtel_Presence,0,6
204,rt i do not have time for your mess and settle it at your end or else i will pull down to consume,-1.0,97,,0,344
205,rt thank you airtel for your kind responsei hope airtel will resolve my international outgoing call,1.0,17102,,0,142
206,what is mean,0.0,27,Airtel_Presence,0,64
207,yaar your internet and network in singrauli and jayant really sucks complaint but left with no solution,-1.0,153,airtelindia,0,238
208,show if you have done any work on backup plan to resolve this complaints done by me since 4yrs no re httpstco1k1f0s2pi2,-1.0,9,Airtel_Presence,0,65
209,rt since linking his phone to sr says his gas subsidy without his consent is going to and he mu,0.0,62,,0,128
210,rt hey  why my outgoing calls barred i am now in sudan internl roaming i have intern,0.0,664,,0,251
211,httpstcors6ysxvisl,-1.0,225,Hrishal,0,90
212,cmplained a week bck got a promising respnse  ( strng sarcasm intnded my connction stil scks better to switch to,0.0,2,Airtel_Presence,0,74
213,hey any solution since saturday morning i do not have active connection,0.0,2699,,0,1145
214,team am not able to pay earlier due payment for airtel i have switched operator now  & amp nt abl to pay airtel,0.0,165,airtelindia,0,572
215,thanks httpstco3kyimwmip2,1.0,597,Airtel_Presence,0,435
216,it is a wrong airtel fastest network advertisement is a fake one i can prove the same at bangalore,-1.0,19,airtelindia,0,21
217,added money to airtel payments bank  (  @ airtelindia  via dbt card amt ddctd frm icici bt nt credited in airtel 201709151144030,0.0,10,,0,47
218,got reply from jio care that it will be fixed in 90 days httpstcorgin5rbmzf,0.0,0,Sandeep51484791,0,1
219,done,1.0,35,Airtel_Presence,0,354
220,i have booked the ticket using airtel payment bank on 8th se httpstco9nmal29sue,0.0,13,aggarwal_aviral,0,186
221,d754b this itself answers all questions for their open network page itself is not opening for la httpstcofhvi4zzide,-1.0,247,,0,201
222,hi when will airtel internet tv be available at 603002 looking forward to purchase one connection,-1.0,24,airtelindia,0,39
223,hello please assist with the stated complaint thank you  ^ martha,0.0,152474,nitishkr9835,0,15813
224,easiest is can verify whose httpstcod2cyqkz3es,0.0,14141,shiladitya,0,3136
225,rt lol i switched to the moment they launched 4g in my city airte,-1.0,6135,,0,1592
226,accidents happens and they are unavoidable in adverts airtel speak big words but reality is different it is a cheat,-1.0,3,airtelindia,0,35
227,worst network i have ever experienced i want my money back,-1.0,72,,0,444
228,national academy of construction near novotel  ( hicc convention centre beside hitex exhibition grounds hitech city 12,0.0,91,Airtel_Presence,0,227
229,service on i have lost my money now due to your technical issue i need a,-1.0,87,Airtel_Presence,0,495
230,hello kindly assist with the stated complaint thank you,0.0,152533,shahkeval007,0,15817
231,the local support team will get refurbished boxes that records for couple of days and httpstcorwi3pmmsto,-1.0,336,mskothari,0,435
232,i had bn waiting long time for a proper solution frm but they faild time and againplease take strict action,0.0,13,DoT_India,0,51
233,is ram rahim of india telecom industry httpstcowfjbt7shc9,-1.0,19,airtelindia,0,33
234,rt indias leading telecom company airtel but no network from last ni8,-1.0,457,,0,0
235,"  ""  my transition from cfo to chro gave me great insight into how to improve airtel focusing on the people  ""   srikant httpstcone4vksyavs",1.0,9562,,0,875
236,your service on postpaid is terrible and im switching over to jioi get downgraded in internet speed despite 4g pack,-1.0,1,Airtel_Presence,0,6
237,thanks for reaching me,1.0,32,Airtel_Presence,0,111
238,httpstcofq0r4cgytl airtel is a big fraud have a look,-1.0,0,Airtel_Presence,0,42
239,where is mr prashant do you remembr you told that weiver isnt possble when ther is no outstndng how httpstcoetsge08kit,0.0,11,Airtel_Presence,0,60
240,worst service providers in resolving customer issue and best in saying sorry after every issue,-1.0,30,airtelindia,0,653
241,why i am paying the monthly rental when not getting quality network n service,-1.0,24,manojsinhabjp,0,23
242,im not getting calls on my number when someone calls it rings bt dont know where call is going do help,0.0,89,Airtel_Presence,0,193
243,no one has turned up yet to office,0.0,88,Airtel_Presence,0,107
244,i am not able to view any videos and it is buffering so long very poor network nowadays httpstcopb9gsq0fre,-1.0,7,,0,134
245,pathetic service,-1.0,431,airtelindia,0,773
246,this is speed of my which is said to be indias fastest network unfortunately i have converted to air httpstco6iqfmxkcu9,-1.0,80,,0,227
247,very poor network in mangalore since 2 months kindly look into matter,-1.0,133,Airtel_Presence,0,553
248,i am tired of this network no one has visited the location to check the network status since i registered the complaint,-1.0,33,Airtel_Presence,0,75
249,rt first of alltell me of any similar offer with you as that of 399 of providing 1gb da,0.0,753,,0,1347
250,your data speed is too low in vallabh nagar indore mp your service is too bad ,-1.0,1,airtelindia,0,128
251,you r harping on same node please respond when i gave pan with my connection request form why you need it again,0.0,2,Airtel_Presence,0,3
252,it has been more than 12 hrs i am having no network in my phone plz look into the same,-1.0,162,Airtel_Presence,0,156
253,rt  @ airtelindia payments bank launches upi enabled payments httpstco0epit2nopw,1.0,3417,,0,5002
254,hello kindly assist with stated issue thank you  ^ osebi,0.0,152532,Ajayjai54516560,0,15817
255,hi thanks for doing it btw i m postpaid customer so you r sayin i will not get this activations any more,1.0,13,Airtel_Presence,0,101
256,it is becoming a very bad situation for me as i must need to be connected to internet,-1.0,96,Airtel_Presence,0,336
257,hello for prompt response please contact this handle is httpstcotfdwj6o3en,0.0,152515,sarafarosh,0,15813
258,successful day 7 without broadband internet thanks to the exemplary service of airtel bb tel number 47438419,-1.0,15,Airtel_Presence,0,50
259,atleast we are not getting signals to make a call at my recent work location,0.0,12,Airtel_Presence,0,112
260,roadmap is for you not for customer have you check no call from you r side i have pay complete bill b httpstcoxu428gatwt,-1.0,3,Airtel_Presence,0,48
261,i got a call 4m your side she is very rude and nois 9959021491  airtel network  support everything is   \  ,-1.0,45,Airtel_Presence,0,236
262,make and model  motorola he 4g handsets pin code 560037,0.0,15,Airtel_Presence,0,210
263,store r k puram sec12awful untrained unsmart no courtseymost of the time suprvsr unavlbe says come 2morrowimprove buddy,0.0,5,Airtel_Presence,0,4
264,same error persists even after reinstalling the app,0.0,68,Airtel_Presence,0,101
265,i am honestly ashamed using network not able to get transaction otp because of shitty network range at home,-1.0,14420,,0,1962
266,rt launches enabled for its 20 mn,1.0,86,,0,212
267,any my network is gone,-1.0,664,Airtel_Presence,0,683
268,my data is turtle slow i think my prepaid was faster i still see my number as prepaid in myairtel app  ( 1 of 2,-1.0,12,Airtel_Presence,0,46
269,please help my no is 9732435966,0.0,0,Airtel_Presence,0,3
270,its gone again againnn wtf airtel is this a joke thrice in 2 days guys your guys came thrice and its now down again,-1.0,1205,Airtel_Presence,0,637
271,about your 147 plan unlmtd calling for a2a only or for all local mobile  9601716334,1.0,31,Airtel_Presence,0,76
272,indoor connectivity is too worst 4g cannot access in dat area and while on outdoor speed consistenc httpstcogvgjyxqnf8,-1.0,21,Airtel_Presence,0,195
273,rt who called it airtel 4g network and not 4g notwork,-1.0,2067,,0,3
274,rt when can i expect my refund  its been more than 15 days httpstcottnw,0.0,147,,0,549
275,such a bad customer service hopeless support even after paying u20b95500 for subscription such a waste,-1.0,12,Airtel_Presence,0,101
276,you have to pay for my claimypu charge regularly for it i always give money on time i have right to get the benefit,-1.0,106,Airtel_Presence,0,763
277,rt is ram rahim of india telecom industry httpstcowfjbt7shc9,-1.0,111,,0,41
278,hello kindly assist with the stated complaint thank you,0.0,152532,Hafizur09700794,0,15817
279,rt when your bank ac gets looted using stolen fingerprint by aadhaar pay will,0.0,170,,0,10
280,will port out from airtel as soon as my 90 days httpstcoff1ttnxbml,0.0,77,yoursRitesh,0,262
281,channels 489,0.0,2,Airtel_Presence,0,15
282,comes up with new strategy reduce the data from 100 gb to 40 gb if customer doesnt upgrade plan from 1149 to 1249 kudos,-1.0,67,airtelindia,0,167
283,cannot trust you people having been repeating the same tactics again and again,0.0,13,Airtel_Presence,0,28
